station,value,stationid,lat,lon,geometry
"Furze Green, Bow",85866,499,51.519265,-0.021345,Point (-0.021345 51.519265)
"Garnet Street, Shadwell",78017,453,51.508447,-0.055167,Point (-0.055167 51.508447)
"Gas Holders, Battersea Park",61258,834,51.477966,-0.147857,Point (-0.147857 51.477966)
"Gascoyne Road, Victoria Park",25639,474,51.541515,-0.038557,Point (-0.038557 51.541515)
"Gauden Road, Clapham",40940,808,51.464995,-0.130908,Point (-0.130908 51.464995)
"Gaywood  Street, Elephant & Castle",68805,549,51.49605,-0.104193,Point (-0.104193 51.49605)
"George Place Mews, Marylebone",75569,403,51.516892,-0.158249,Point (-0.158249 51.516892)
"George Row, Bermondsey",33055,840,51.498585,-0.068981,Point (-0.068981 51.498585)
"George Street, Marylebone",100415,400,51.517703,-0.154106,Point (-0.154106 51.517703)
"Geraldine Street, Elephant & Castle",31176,297,51.496127,-0.106,Point (-0.106 51.496127)
"Globe Town Market, Bethnal Green",90625,577,51.528869,-0.047548,Point (-0.047548 51.528869)
"Gloucester Avenue, Camden Town",93509,535,51.537349,-0.147154,Point (-0.147154 51.537349)
"Gloucester Road (Central), South Kensington",73352,113,51.496462,-0.183289,Point (-0.183289 51.496462)
"Gloucester Road (North), Kensington",103137,97,51.497924,-0.183834,Point (-0.183834 51.497924)
"Gloucester Road Station, South Kensington",182513,405,51.494185,-0.18267,Point (-0.18267 51.494185)
"Gloucester Street, Pimlico",110729,243,51.490962,-0.139625,Point (-0.139625 51.490962)
"Gloucester Terrace, Bayswater",71186,176,51.517919,-0.188098,Point (-0.188098 51.517919)
"Godliman Street, St. Paul's",151010,48,51.512484,-0.099141,Point (-0.099141 51.512484)
"Golden Lane, Barbican",95278,54,51.521747,-0.094475,Point (-0.094475 51.521747)
"Golden Square, Soho",121522,129,51.511897,-0.137043,Point (-0.137043 51.511897)
"Goldsmith's Row, Haggerston",112766,534,51.531864,-0.066035,Point (-0.066035 51.531864)
"Good's Way, King's Cross",121490,804,51.534667,-0.125078,Point (-0.125078 51.534667)
"Goswell Road (City Uni), Finsbury",61616,344,51.528246,-0.101026,Point (-0.101026 51.528246)
"Gower Place , Euston",64757,65,51.525227,-0.135188,Point (-0.135188 51.525227)
"Grafton Street, Mayfair",50669,53,51.509992,-0.143495,Point (-0.143495 51.509992)
"Graham Street, Angel",148041,326,51.532661,-0.099981,Point (-0.099981 51.532661)
"Granby Street, Shoreditch",129846,486,51.525645,-0.069543,Point (-0.069543 51.525645)
"Grant Road Central, Clapham Junction",2815,672,51.464655,-0.173719,Point (-0.173719 51.464655)
"Grant Road East, Clapham Junction",84457,735,51.464894,-0.173029,Point (-0.173029 51.464894)
"Grant Road West, Clapham Junction",6410,1000,51.464416,-0.174521,Point (-0.174521 51.464416)
"Great Dover Street, The Borough",93271,61,51.497382,-0.089446,Point (-0.089446 51.497382)
"Great Marlborough St, Soho",152022,159,51.514667,-0.137694,Point (-0.137694 51.514667)
"Great Percy Street, Clerkenwell",84895,227,51.528915,-0.11548,Point (-0.11548 51.528915)
"Great Russell Street, Bloomsbury",109528,15,51.517727,-0.127854,Point (-0.127854 51.517727)
"Great Suffolk Street, The Borough",80223,645,51.501732,-0.100292,Point (-0.100292 51.501732)
"Great Titchfield Street, Fitzrovia",101211,81,51.520253,-0.141327,Point (-0.141327 51.520253)
"Great Tower Street, Monument",213247,199,51.510484,-0.082989,Point (-0.082989 51.510484)
"Green Park Station, Mayfair",242019,541,51.506613,-0.142844,Point (-0.142844 51.506613)
"Green Street, Mayfair",141373,138,51.512276,-0.157436,Point (-0.157436 51.512276)
"Greenberry Street, St.John's Wood",32860,590,51.53256,-0.16862,Point (-0.16862 51.53256)
"Greenland Road, Camden Town",123895,572,51.539099,-0.141728,Point (-0.141728 51.539099)
"Grenfell Road, Avondale",31034,754,51.5129,-0.214762,Point (-0.214762 51.5129)
"Greycoat Street , Westminster",42615,353,51.494591,-0.134234,Point (-0.134234 51.494591)
"Greyhound Road, Hammersmith",84900,635,51.486062,-0.214428,Point (-0.214428 51.486062)
"Grosvenor Crescent, Belgravia",38248,207,51.501352,-0.153194,Point (-0.153194 51.501352)
"Grosvenor Road, Pimlico",59146,245,51.485357,-0.142207,Point (-0.142207 51.485357)
"Grosvenor Square, Mayfair",94670,348,51.51217,-0.150481,Point (-0.150481 51.51217)
"Grove End Road, St. John's Wood",82333,312,51.530889,-0.17677,Point (-0.17677 51.530889)
"Guildhouse Street, Victoria",59913,161,51.492345,-0.141334,Point (-0.141334 51.492345)
"Guilford Street , Bloomsbury",122460,57,51.523346,-0.120202,Point (-0.120202 51.523346)
"Gunmakers Lane, Old Ford",93743,459,51.535179,-0.03338,Point (-0.03338 51.535179)
"Gwendwr Road, West Kensington",55175,770,51.491026,-0.209121,Point (-0.209121 51.491026)
"Haggerston Road, Haggerston",119084,749,51.539328,-0.074284,Point (-0.074284 51.539328)
"Halford Road, West Kensington",76248,782,51.483911,-0.197609,Point (-0.197609 51.483911)
"Hammersmith Road, Hammersmith",98384,595,51.493267,-0.21985,Point (-0.21985 51.493267)
"Hammersmith Town Hall, Hammersmith",28803,753,51.492736,-0.234055,Point (-0.234055 51.492736)
"Hampstead Road, Euston",132937,98,51.525542,-0.138231,Point (-0.138231 51.525542)
"Hampton Street, Walworth",89021,152,51.49217,-0.101536,Point (-0.101536 51.49217)
"Handyside Street, King's Cross",63107,806,51.53724,-0.124807,Point (-0.124807 51.53724)
"Hansard Mews, Holland Park",56049,527,51.503802,-0.215808,Point (-0.215808 51.503802)
"Harcourt Terrace, West Brompton",95996,757,51.487958,-0.187404,Point (-0.187404 51.487958)
"Hardwick Street, Clerkenwell",65082,170,51.527842,-0.108068,Point (-0.108068 51.527842)
"Harford Street, Mile End",56817,550,51.521564,-0.039264,Point (-0.039264 51.521564)
"Harper Road, The Borough",58934,249,51.498597,-0.096191,Point (-0.096191 51.498597)
"Harriet Street, Knightsbridge",106000,368,51.500241,-0.15934,Point (-0.15934 51.500241)
"Harrington Square 1, Camden Town",37878,90,51.533019,-0.139174,Point (-0.139174 51.533019)
"Harrington Square 2, Camden Town",70737,425,51.533403,-0.139258,Point (-0.139258 51.533403)
"Harris Academy, Bermondsey",65794,666,51.492668,-0.07235,Point (-0.07235 51.492668)
"Harrowby Street, Marylebone",65279,367,51.517372,-0.164207,Point (-0.164207 51.517372)
"Hartington Road, Stockwell",87466,676,51.47787,-0.126874,Point (-0.126874 51.47787)
"Hatton Garden, Holborn",118813,67,51.518825,-0.108028,Point (-0.108028 51.518825)
"Hatton Wall, Holborn",160411,17,51.521661,-0.109006,Point (-0.109006 51.521661)
"Hawley Crescent, Camden Town",44318,713,51.541007,-0.14326,Point (-0.14326 51.541007)
"Heath Road, Battersea",38644,677,51.468669,-0.146544,Point (-0.146544 51.468669)
"Here East North, Queen Elizabeth Olympic Park",34945,812,51.548731,-0.022606,Point (-0.022606 51.548731)
"Here East South, Queen Elizabeth Olympic Park",21969,816,51.546532,-0.020597,Point (-0.020597 51.546532)
"Hereford Road, Bayswater",89023,29,51.513735,-0.193487,Point (-0.193487 51.513735)
"Hermitage Court, Wapping",61133,451,51.504719,-0.063531,Point (-0.063531 51.504719)
"Heron Quays DLR, Canary Wharf",36494,556,51.502661,-0.021596,Point (-0.021596 51.502661)
"Hertford Road, De Beauvoir Town",105242,748,51.537277,-0.079201,Point (-0.079201 51.537277)
"Hewison Street, Old Ford",59964,471,51.533283,-0.028155,Point (-0.028155 51.533283)
"Hibbert Street, Battersea",76941,673,51.46517,-0.180389,Point (-0.180389 51.46517)
"High Holborn , Covent Garden",93140,358,51.516226,-0.124826,Point (-0.124826 51.516226)
"Hinde Street, Marylebone",125645,210,51.516814,-0.151926,Point (-0.151926 51.516814)
"Holborn Circus, Holborn",208855,66,51.51795,-0.108657,Point (-0.108657 51.51795)
"Holden Street, Battersea",31776,627,51.46879,-0.15823,Point (-0.15823 51.46879)
"Holland Park, Kensington",66943,398,51.502319,-0.200742,Point (-0.200742 51.502319)
"Hollybush Gardens, Bethnal Green",54187,578,51.527607,-0.057133,Point (-0.057133 51.527607)
"Holy Trinity Brompton, Knightsbridge",94825,150,51.497056,-0.168917,Point (-0.168917 51.497056)
"Hop Exchange, The Borough",354488,194,51.504627,-0.091773,Point (-0.091773 51.504627)
"Horseferry Road, Westminster",101393,221,51.494816,-0.130458,Point (-0.130458 51.494816)
"Hortensia Road, West Brompton",75454,739,51.481765,-0.185273,Point (-0.185273 51.481765)
"Houghton Street, Strand",48259,256,51.51362,-0.116764,Point (-0.116764 51.51362)
"Houndsditch, Aldgate",81020,779,51.514449,-0.077178,Point (-0.077178 51.514449)
"Howick Place, Westminster",133879,360,51.496753,-0.138733,Point (-0.138733 51.496753)
"Howland Street, Fitzrovia",121013,357,51.520994,-0.139016,Point (-0.139016 51.520994)
"Hoxton Station, Hoxton",73013,539,51.531091,-0.075901,Point (-0.075901 51.531091)
"Hoxton Street, Hoxton",61417,588,51.52959,-0.0801,Point (-0.0801 51.52959)
"Humbolt Road, Fulham",71106,761,51.483217,-0.21186,Point (-0.21186 51.483217)
"Hurlingham Park, Parsons Green",34157,774,51.470131,-0.20464,Point (-0.20464 51.470131)
"Hyde Park Corner, Hyde Park",616804,191,51.503117,-0.15352,Point (-0.15352 51.503117)
"Ilchester Gardens, Bayswater",102001,584,51.51244,-0.19096,Point (-0.19096 51.51244)
"Ilchester Place, Kensington",33533,145,51.500743,-0.202759,Point (-0.202759 51.500743)
"Imperial College, Knightsbridge",136948,392,51.499428,-0.179702,Point (-0.179702 51.499428)
"Imperial Road, Sands End",62405,738,51.475142,-0.187278,Point (-0.187278 51.475142)
"Imperial Wharf Station, Sands End",123689,780,51.474665,-0.183165,Point (-0.183165 51.474665)
"Import Dock, Canary Wharf",45708,551,51.505772,-0.01646,Point (-0.01646 51.505772)
"Ingrave Street, Clapham Junction",26215,744,51.467454,-0.172293,Point (-0.172293 51.467454)
"Irene Road, Parsons Green",61529,619,51.473763,-0.19701,Point (-0.19701 51.473763)
"Islington Green, Angel",219910,695,51.536384,-0.102757,Point (-0.102757 51.536384)
"Jewry Street, Aldgate",104884,102,51.513406,-0.076793,Point (-0.076793 51.513406)
"Jubilee Crescent, Cubitt Town",29590,447,51.493381,-0.007542,Point (-0.007542 51.493381)
"Jubilee Gardens, South Bank",169374,252,51.504636,-0.116542,Point (-0.116542 51.504636)
"Jubilee Plaza, Canary Wharf",104701,532,51.50357,-0.020068,Point (-0.020068 51.50357)
"Jubilee Street, Stepney",73323,450,51.515975,-0.053177,Point (-0.053177 51.515975)
"Kennington Cross, Kennington",136878,144,51.48894,-0.111435,Point (-0.111435 51.48894)
"Kennington Lane Rail Bridge, Vauxhall",219125,270,51.486343,-0.122492,Point (-0.122492 51.486343)
"Kennington Lane Tesco, Vauxhall",35194,305,51.486824,-0.115659,Point (-0.115659 51.486824)
"Kennington Oval, Oval",90817,440,51.483145,-0.113134,Point (-0.113134 51.483145)
"Kennington Road  , Vauxhall",86129,235,51.495718,-0.110889,Point (-0.110889 51.495718)
"Kennington Road Post Office, Oval",79424,149,51.484788,-0.110683,Point (-0.110683 51.484788)
"Kennington Station, Kennington",71174,435,51.488852,-0.105593,Point (-0.105593 51.488852)
"Kensington Church Street, Kensington",110244,277,51.503157,-0.191496,Point (-0.191496 51.503157)
"Kensington Gore, Knightsbridge",61813,258,51.501432,-0.178656,Point (-0.178656 51.501432)
"Kensington Olympia Station, Olympia",55015,293,51.498157,-0.209494,Point (-0.209494 51.498157)
"Kensington Town Hall, Kensington",47178,375,51.501945,-0.194392,Point (-0.194392 51.501945)
"Killick Street, King's Cross",36862,439,51.5338,-0.118677,Point (-0.118677 51.5338)
"King Edward Street, St Pauls",60599,557,51.51601,-0.0985,Point (-0.0985 51.51601)
"King Edward Walk, Waterloo",31712,371,51.49775,-0.10988,Point (-0.10988 51.49775)
"Kings Gate House, Westminster",43024,799,51.497698,-0.137598,Point (-0.137598 51.497698)
"Kingsway Southbound, Strand",86590,594,51.513875,-0.117774,Point (-0.117774 51.513875)
"Kingsway, Covent Garden",25498,283,51.514409,-0.118478,Point (-0.118478 51.514409)
"Knaresborough Place, Earl's Court",78608,296,51.493631,-0.190603,Point (-0.190603 51.493631)
"Knightsbridge, Hyde Park",104270,222,51.502757,-0.155349,Point (-0.155349 51.502757)
"LMU Commercial Road, Whitechapel",104286,200,51.514924,-0.066078,Point (-0.066078 51.514924)
"LSBU (Borough Road), Elephant & Castle",62061,262,51.498744,-0.103132,Point (-0.103132 51.498744)
"Ladbroke Grove Central, Ladbroke Grove",29368,560,51.511624,-0.205921,Point (-0.205921 51.511624)
"Lambeth North Station, Waterloo",70226,284,51.49914,-0.112031,Point (-0.112031 51.49914)
"Lambeth Palace Road, Waterloo",139951,815,51.500089,-0.116628,Point (-0.116628 51.500089)
"Lambeth Road, Vauxhall",67144,139,51.494881,-0.117974,Point (-0.117974 51.494881)
"Lancaster Drive, Blackwall",30227,526,51.503143,-0.008428,Point (-0.008428 51.503143)
"Lancaster Gate , Bayswater",119542,524,51.511654,-0.179668,Point (-0.179668 51.511654)
"Langdon Park, Poplar",24869,523,51.51549,-0.013475,Point (-0.013475 51.51549)
"Lansdowne Drive, Hackney Central",29582,21,51.539834,-0.062806,Point (-0.062806 51.539834)
"Lansdowne Road, Ladbroke Grove",92480,622,51.507481,-0.205535,Point (-0.205535 51.507481)
"Lansdowne Walk, Ladbroke Grove",25604,543,51.509591,-0.204666,Point (-0.204666 51.509591)
"Lavington Street, Bankside",82007,801,51.505224,-0.098031,Point (-0.098031 51.505224)
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",87758,786,51.549369,-0.015717,Point (-0.015717 51.549369)
"Leman Street, Aldgate",183445,202,51.512363,-0.069542,Point (-0.069542 51.512363)
"Leonard Circus , Shoreditch",178898,32,51.524696,-0.084439,Point (-0.084439 51.524696)
"Lexham Gardens, Kensington",82922,155,51.495866,-0.191933,Point (-0.191933 51.495866)
"Lightermans Road, Millwall",51057,475,51.499041,-0.020157,Point (-0.020157 51.499041)
"Limburg Road, Clapham Junction",24161,777,51.461923,-0.165297,Point (-0.165297 51.461923)
"Limerston Street, West Chelsea",185325,573,51.485587,-0.18119,Point (-0.18119 51.485587)
"Lincoln's Inn Fields, Holborn",57405,809,51.516277,-0.118272,Point (-0.118272 51.516277)
"Lindfield Street, Poplar",56356,469,51.513757,-0.020467,Point (-0.020467 51.513757)
"Lisson Grove, St. John's Wood",47903,60,51.526448,-0.17219,Point (-0.17219 51.526448)
"Little Argyll Street, West End",220375,116,51.514499,-0.141423,Point (-0.141423 51.514499)
"Little Brook Green, Brook Green",47774,775,51.496664,-0.223868,Point (-0.223868 51.496664)
"Liverpool Road (N1 Centre), Angel",134098,234,51.534504,-0.106992,Point (-0.106992 51.534504)
"Lollard Street, Vauxhall",89195,117,51.49288,-0.114934,Point (-0.114934 51.49288)
"London Fields, Hackney Central",74449,614,51.54119,-0.058826,Point (-0.058826 51.54119)
"London Street, Paddington",14063,752,51.515117,-0.173712,Point (-0.173712 51.515117)
"London Zoo Car Park, The Regent's Park",78596,343,51.536922,-0.150181,Point (-0.150181 51.536922)
"London Zoo,  The Regent's Park",78585,271,51.535836,-0.156285,Point (-0.156285 51.535836)
"Long Lane , Bermondsey",87277,308,51.499075,-0.085666,Point (-0.085666 51.499075)
"Longford Street, The Regent's Park",61015,76,51.525595,-0.144083,Point (-0.144083 51.525595)
"Lord's, St. John's Wood",26908,363,51.5289,-0.171592,Point (-0.171592 51.5289)
"Lots Road, West Chelsea",69622,746,51.479573,-0.179038,Point (-0.179038 51.479573)
"Lower Marsh, Waterloo",93989,347,51.500139,-0.113936,Point (-0.113936 51.500139)
"Lower Thames Street, Monument",66266,276,51.509301,-0.084985,Point (-0.084985 51.509301)
"Macclesfield Rd, St Lukes",104782,351,51.529423,-0.097122,Point (-0.097122 51.529423)
"Maida Vale, Maida Vale",71050,8,51.529857,-0.183486,Point (-0.183486 51.529857)
"Malet Street, Bloomsbury",174108,12,51.52168,-0.130431,Point (-0.130431 51.52168)
"Mallory Street, Marylebone",35852,208,51.525051,-0.166304,Point (-0.166304 51.525051)
"Malmesbury Road, Bow",16637,472,51.529452,-0.027616,Point (-0.027616 51.529452)
"Manbre Road, Hammersmith",45301,599,51.485743,-0.223616,Point (-0.223616 51.485743)
"Manresa Road, Chelsea",85707,529,51.486892,-0.170983,Point (-0.170983 51.486892)
"Maplin Street, Mile End",134719,492,51.525501,-0.032267,Point (-0.032267 51.525501)
"Margery Street, Clerkenwell",72396,204,51.526599,-0.112432,Point (-0.112432 51.526599)
"Marloes Road, Kensington",44423,384,51.496481,-0.192404,Point (-0.192404 51.496481)
"Marylebone Lane, Marylebone",135992,301,51.514759,-0.148105,Point (-0.148105 51.514759)
"Merchant Street, Bow",33994,497,51.526578,-0.027581,Point (-0.027581 51.526578)
"Mexfield Road, East Putney",23638,704,51.45682,-0.202802,Point (-0.202802 51.45682)
"Michael Road, Walham Green",64996,731,51.477292,-0.189155,Point (-0.189155 51.477292)
"Mile End Park Leisure Centre, Mile End",77552,763,51.520597,-0.032566,Point (-0.032566 51.520597)
"Mile End Stadium, Mile End",80184,712,51.518541,-0.034903,Point (-0.034903 51.518541)
"Millbank Tower, Pimlico",116566,376,51.491884,-0.125674,Point (-0.125674 51.491884)
"Millennium Hotel, Mayfair",57726,366,51.510919,-0.151126,Point (-0.151126 51.510919)
"Millharbour, Millwall",19970,473,51.496137,-0.019355,Point (-0.019355 51.496137)
"Milroy Walk, South Bank",137878,195,51.507244,-0.106237,Point (-0.106237 51.507244)
"Monier Road, Hackney Wick",84627,783,51.540311,-0.02163,Point (-0.02163 51.540311)
"Montpelier Street, Knightsbridge",126618,292,51.498884,-0.165471,Point (-0.165471 51.498884)
"Montserrat Road , Putney",34879,709,51.463211,-0.21555,Point (-0.21555 51.463211)
"Monument Street, Monument",139997,587,51.50964,-0.08497,Point (-0.08497 51.50964)
"Moor Street, Soho",184120,386,51.513527,-0.13011,Point (-0.13011 51.513527)
"Moorfields, Moorgate",179061,215,51.519069,-0.088285,Point (-0.088285 51.519069)
"Morie Street, Wandsworth",21581,629,51.459953,-0.190184,Point (-0.190184 51.459953)
"Mostyn Grove, Bow",59766,470,51.530535,-0.025492,Point (-0.025492 51.530535)
"Mudchute DLR, Cubitt Town",23929,586,51.490645,-0.014582,Point (-0.014582 51.490645)
"Murray Grove , Hoxton",68669,63,51.53089,-0.089782,Point (-0.089782 51.53089)
"Museum of London, Barbican",125847,126,51.517821,-0.096496,Point (-0.096496 51.517821)
"Nantes Close, Wandsworth",31171,623,51.46193,-0.180791,Point (-0.180791 51.46193)
"Napier Avenue, Millwall",37518,454,51.487679,-0.021582,Point (-0.021582 51.487679)
"Natural History Museum, South Kensington",107818,378,51.495592,-0.179077,Point (-0.179077 51.495592)
"Naval Row, Blackwall",34956,538,51.508981,-0.00699,Point (-0.00699 51.508981)
"Nesham Street, Wapping",181191,46,51.507131,-0.06691,Point (-0.06691 51.507131)
"Nevern Place, Earl's Court",62786,332,51.493343,-0.194757,Point (-0.194757 51.493343)
"Neville Gill Close, Wandsworth",53656,684,51.454752,-0.195197,Point (-0.195197 51.454752)
"New Cavendish Street, Marylebone",103278,581,51.519167,-0.147983,Point (-0.147983 51.519167)
"New Fetter Lane, Holborn",114567,546,51.517428,-0.107987,Point (-0.107987 51.517428)
"New Globe Walk, Bankside",102898,9,51.507385,-0.09644,Point (-0.09644 51.507385)
"New Inn Yard, Shoreditch",122720,58,51.524526,-0.079248,Point (-0.079248 51.524526)
"New Kent Road, The Borough",74952,156,51.494436,-0.092921,Point (-0.092921 51.494436)
"New North Road 1, Hoxton",34062,327,51.53095,-0.085603,Point (-0.085603 51.53095)
"New North Road 2, Hoxton",42348,328,51.53114,-0.086016,Point (-0.086016 51.53114)
"New Road 1 , Whitechapel",119110,206,51.518154,-0.062697,Point (-0.062697 51.518154)
"New Spring Gardens Walk, Vauxhall",40298,813,51.487807,-0.122759,Point (-0.122759 51.487807)
"Newby Place, Poplar",29248,530,51.508896,-0.012413,Point (-0.012413 51.508896)
"Newgate Street , St. Paul's",218188,71,51.515418,-0.09885,Point (-0.09885 51.515418)
"Newton Street, Covent Garden",65785,751,51.516128,-0.120909,Point (-0.120909 51.516128)
"Normand Park, West Kensington",113348,626,51.484386,-0.204815,Point (-0.204815 51.484386)
"Normandy Road, Stockwell",50518,828,51.473874,-0.11258,Point (-0.11258 51.473874)
"North Audley Street, Mayfair",100123,180,51.512911,-0.153645,Point (-0.153645 51.512911)
"North Wharf Road, Paddington",85504,279,51.518622,-0.176645,Point (-0.176645 51.518622)
"Northdown Street, King's Cross",67410,593,51.531066,-0.11934,Point (-0.11934 51.531066)
"Northfields, Wandsworth",36356,688,51.460951,-0.200667,Point (-0.200667 51.460951)
"Northington Street , Holborn",113854,22,51.522264,-0.114079,Point (-0.114079 51.522264)
"Northumberland Avenue, Strand",139119,354,51.506767,-0.123702,Point (-0.123702 51.506767)
"Norton Folgate, Liverpool Street",104154,122,51.521113,-0.078869,Point (-0.078869 51.521113)
"Notting Hill Gate Station, Notting Hill",180942,225,51.509353,-0.196422,Point (-0.196422 51.509353)
"Nutford Place, Marylebone",70186,188,51.516517,-0.164393,Point (-0.164393 51.516517)
"Old Brompton Road, South Kensington",108527,216,51.490945,-0.18119,Point (-0.18119 51.490945)
"Old Ford Road, Bethnal Green",87593,485,51.531127,-0.048017,Point (-0.048017 51.531127)
"Old Montague Street, Whitechapel",98020,537,51.51793,-0.067937,Point (-0.067937 51.51793)
"Old Quebec Street, Marylebone",173544,99,51.514577,-0.158264,Point (-0.158264 51.514577)
"Old Street Station, St. Luke's",217556,73,51.52548,-0.089659,Point (-0.089659 51.52548)
"Ontario Street, Elephant & Castle",103738,324,51.49652,-0.101384,Point (-0.101384 51.49652)
"Orbel Street, Battersea",57767,679,51.474535,-0.17021,Point (-0.17021 51.474535)
"Ormonde Gate, Chelsea",78699,747,51.487964,-0.161765,Point (-0.161765 51.487964)
"Orsett Terrace, Bayswater",32062,165,51.517932,-0.183716,Point (-0.183716 51.517932)
"Osiers Road, Wandsworth",65013,685,51.46067,-0.198735,Point (-0.198735 51.46067)
"Ossulston Street, Somers Town",72138,797,51.5293,-0.128279,Point (-0.128279 51.5293)
"Oxford Road, Putney",24460,743,51.460792,-0.212607,Point (-0.212607 51.460792)
"Paddington Green, Paddington",28416,370,51.520205,-0.174593,Point (-0.174593 51.520205)
"Paddington Street, Marylebone",88532,56,51.520583,-0.154701,Point (-0.154701 51.520583)
"Page Street, Westminster",113484,558,51.493978,-0.127554,Point (-0.127554 51.493978)
"Palace Gardens Terrace, Notting Hill",116175,333,51.508605,-0.193764,Point (-0.193764 51.508605)
"Palace Gate, Kensington Gardens",255870,404,51.502042,-0.1844,Point (-0.1844 51.502042)
"Palissy Street, Shoreditch",65780,322,51.526293,-0.073955,Point (-0.073955 51.526293)
"Pall Mall East, West End",157422,233,51.50777,-0.130699,Point (-0.130699 51.50777)
"Pancras Road, King's Cross",65880,34,51.534123,-0.129386,Point (-0.129386 51.534123)
"Panton Street, West End",149046,83,51.509639,-0.13151,Point (-0.13151 51.509639)
"Park Lane , Hyde Park",258397,111,51.510017,-0.157275,Point (-0.157275 51.510017)
"Park Lane, Mayfair",68451,733,51.505426,-0.150817,Point (-0.150817 51.505426)
"Park Road (Baker Street), The Regent's Park",141062,114,51.524517,-0.158963,Point (-0.158963 51.524517)
"Park Street, Bankside",67461,10,51.505974,-0.092754,Point (-0.092754 51.505974)
"Parkway, Camden Town",71665,456,51.538071,-0.144664,Point (-0.144664 51.538071)
"Parson's Green , Parson's Green",122607,596,51.472817,-0.199783,Point (-0.199783 51.472817)
"Parsons Green Station, Parsons Green",128362,671,51.475089,-0.201968,Point (-0.201968 51.475089)
"Pembridge Villas, Notting Hill",71006,337,51.511084,-0.197524,Point (-0.197524 51.511084)
"Penfold Street, Marylebone",40051,402,51.522892,-0.171681,Point (-0.171681 51.522892)
"Pennington Street, Wapping",39820,490,51.508622,-0.065006,Point (-0.065006 51.508622)
"Penywern Road, Earl's Court",105753,37,51.491593,-0.192369,Point (-0.192369 51.491593)
"Percival Street, Finsbury",81630,544,51.526153,-0.102208,Point (-0.102208 51.526153)
"Peterborough Road, Sands End",36326,648,51.46904,-0.196274,Point (-0.196274 51.46904)
"Phene Street, Chelsea",99137,662,51.484984,-0.167919,Point (-0.167919 51.484984)
"Phillimore Gardens, Kensington",118757,2,51.499606,-0.197574,Point (-0.197574 51.499606)
"Philpot Street, Whitechapel",84031,443,51.515256,-0.058641,Point (-0.058641 51.515256)
"Pindar Street, Liverpool Street",119084,41,51.520955,-0.083493,Point (-0.083493 51.520955)
"Pitfield Street Central, Hoxton",70737,569,51.53213,-0.08299,Point (-0.08299 51.53213)
