station,value,stationid,lat,lon,geometry
"Pitfield Street North,Hoxton",125259,465,51.53558,-0.08249,Point (-0.08249 51.53558)
"Plough Terrace, Clapham Junction",40436,734,51.462305,-0.175407,Point (-0.175407 51.462305)
"Podium, Queen Elizabeth Olympic Park",130170,789,51.538718,-0.011889,Point (-0.011889 51.538718)
"Pont Street, Knightsbridge",87581,143,51.496886,-0.161203,Point (-0.161203 51.496886)
"Porchester Place, Paddington",133492,169,51.514746,-0.165164,Point (-0.165164 51.514746)
"Portland Place, Marylebone",97898,184,51.520715,-0.145211,Point (-0.145211 51.520715)
"Portman Square, Marylebone",90356,514,51.516204,-0.155525,Point (-0.155525 51.516204)
"Portugal Street, Holborn",15312,147,51.514943,-0.116146,Point (-0.116146 51.514943)
"Pott Street, Bethnal Green",118619,479,51.527152,-0.058005,Point (-0.058005 51.527152)
"Poured Lines, Bankside",101654,230,51.506692,-0.103137,Point (-0.103137 51.506692)
"Preston's Road, Cubitt Town",26365,563,51.499286,-0.009152,Point (-0.009152 51.499286)
"Prince Albert Road, The Regent's Park",106072,329,51.535892,-0.160854,Point (-0.160854 51.535892)
"Prince Consort Road, Knightsbridge",71359,373,51.499806,-0.176415,Point (-0.176415 51.499806)
"Prince of Wales Drive, Battersea Park",89117,756,51.475153,-0.159169,Point (-0.159169 51.475153)
"Princedale Road , Holland Park",56697,611,51.506465,-0.208486,Point (-0.208486 51.506465)
"Princes Square, Bayswater",53311,261,51.513489,-0.191351,Point (-0.191351 51.513489)
"Pritchard's Road, Bethnal Green",141907,512,51.532091,-0.06142,Point (-0.06142 51.532091)
"Putney Bridge Road, East Putney",32359,728,51.461999,-0.20624,Point (-0.20624 51.461999)
"Putney Bridge Station, Fulham",79267,607,51.468814,-0.210279,Point (-0.210279 51.468814)
"Putney Pier, Wandsworth",63759,302,51.466907,-0.216573,Point (-0.216573 51.466907)
"Putney Rail Station, Putney",40141,694,51.460717,-0.216526,Point (-0.216526 51.460717)
"Queen Mary's, Mile End",95612,491,51.522507,-0.041378,Point (-0.041378 51.522507)
"Queen Mother Sports Centre, Victoria",121494,320,51.493573,-0.139956,Point (-0.139956 51.493573)
"Queen Street 1, Bank",254097,101,51.511553,-0.09294,Point (-0.09294 51.511553)
"Queen Street 2, Bank",182474,579,51.511246,-0.093051,Point (-0.093051 51.511246)
"Queen Victoria Street, St. Paul's",137171,136,51.511961,-0.097441,Point (-0.097441 51.511961)
"Queen's Circus, Battersea Park",182269,625,51.477619,-0.149551,Point (-0.149551 51.477619)
"Queen's Gate (Central), South Kensington",82222,231,51.493967,-0.178732,Point (-0.178732 51.493967)
"Queen's Gate (North), Kensington",102438,266,51.501026,-0.180246,Point (-0.180246 51.501026)
"Queen's Gate (South), South Kensington",95724,187,51.492479,-0.178433,Point (-0.178433 51.492479)
"Queen's Gate, Kensington Gardens",214465,350,51.501715,-0.179854,Point (-0.179854 51.501715)
"Queensbridge Road, Haggerston",61287,536,51.53385,-0.06992,Point (-0.06992 51.53385)
"Queensdale Road, Shepherd's Bush",30842,736,51.50659,-0.216104,Point (-0.216104 51.50659)
"Queensway, Kensington Gardens",125611,224,51.51031,-0.187402,Point (-0.187402 51.51031)
"Rainville Road, Hammersmith",80592,644,51.483732,-0.223852,Point (-0.223852 51.483732)
"Ram Street, Wandsworth",80053,766,51.457529,-0.192165,Point (-0.192165 51.457529)
"Rampayne Street, Pimlico",114230,190,51.489975,-0.132845,Point (-0.132845 51.489975)
"Ranelagh Gardens, Fulham",42561,765,51.467601,-0.206827,Point (-0.206827 51.467601)
"Rathbone Street, Fitzrovia",70668,306,51.518162,-0.135025,Point (-0.135025 51.518162)
"Ravenscourt Park Station, Hammersmith",84019,668,51.494223,-0.236769,Point (-0.236769 51.494223)
"Reardon Street, Wapping",87280,488,51.506946,-0.058681,Point (-0.058681 51.506946)
"Rectory Square, Stepney",57741,561,51.518369,-0.043371,Point (-0.043371 51.518369)
"Red Lion Square, Holborn",69131,23,51.519435,-0.119123,Point (-0.119123 51.519435)
"Red Lion Street, Holborn",160196,436,51.51824,-0.11655,Point (-0.11655 51.51824)
"Regency Street, Westminster",81426,267,51.49206,-0.132224,Point (-0.132224 51.49206)
"Regent's Row , Haggerston",286975,553,51.535678,-0.062546,Point (-0.062546 51.535678)
"Richmond Way, Shepherd's Bush",70994,647,51.500353,-0.217515,Point (-0.217515 51.500353)
"Rifle Place, Avondale",29504,771,51.509224,-0.216016,Point (-0.216016 51.509224)
"Risinghill Street, Angel",54644,339,51.533319,-0.111781,Point (-0.111781 51.533319)
"River Street , Clerkenwell",58470,1,51.529163,-0.10997,Point (-0.10997 51.529163)
"Riverlight North, Nine Elms",120141,183,51.482362,-0.136123,Point (-0.136123 51.482362)
"Riverlight South, Nine Elms",84208,817,51.481335,-0.138212,Point (-0.138212 51.481335)
"Rochester Row, Westminster",60776,118,51.495827,-0.135478,Point (-0.135478 51.495827)
"Rodney Road , Walworth",97934,223,51.491484,-0.09022,Point (-0.09022 51.491484)
"Rodney Street, Angel",10564,59,51.531825,-0.114333,Point (-0.114333 51.531825)
"Roscoe Street, St. Luke's",90648,52,51.522954,-0.094934,Point (-0.094934 51.522954)
"Rossmore Road, Marylebone",36881,760,51.525194,-0.164032,Point (-0.164032 51.525194)
"Rotherhithe Roundabout, Rotherhithe",109795,411,51.499169,-0.055846,Point (-0.055846 51.499169)
"Royal Avenue 1, Chelsea",62347,250,51.489932,-0.162727,Point (-0.162727 51.489932)
"Royal Avenue 2, Chelsea",101234,280,51.490083,-0.162418,Point (-0.162418 51.490083)
"Royal College Street, Camden Town",78983,362,51.536264,-0.133952,Point (-0.133952 51.536264)
"Royal London Hospital, Whitechapel",161544,282,51.518675,-0.06111,Point (-0.06111 51.518675)
"Russell Gardens, Olympia",39976,515,51.500088,-0.211316,Point (-0.211316 51.500088)
"Russell Square Station, Bloomsbury",126248,77,51.523418,-0.124121,Point (-0.124121 51.523418)
"Sackville Street, Mayfair",102791,318,51.510048,-0.138846,Point (-0.138846 51.510048)
"Sadlers Sports Centre, Finsbury",111379,78,51.524868,-0.099489,Point (-0.099489 51.524868)
"Sail Street, Vauxhall",58511,441,51.495656,-0.114605,Point (-0.114605 51.495656)
"Salmon Lane, Limehouse",79794,542,51.514115,-0.033828,Point (-0.033828 51.514115)
"Saltoun Road, Brixton",63214,833,51.460232,-0.115375,Point (-0.115375 51.460232)
"Sancroft Street, Vauxhall",56661,86,51.489479,-0.115156,Point (-0.115156 51.489479)
"Sandilands Road, Walham Green",85344,769,51.473611,-0.191803,Point (-0.191803 51.473611)
"Santos Road, Wandsworth",17900,767,51.457059,-0.200806,Point (-0.200806 51.457059)
"Sardinia Street, Holborn",82723,372,51.515208,-0.117863,Point (-0.117863 51.515208)
"Saunders Ness Road, Cubitt Town",91443,481,51.487129,-0.009001,Point (-0.009001 51.487129)
"Scala Street, Fitzrovia",69708,13,51.519914,-0.136039,Point (-0.136039 51.519914)
"Sea Containers, South Bank",63664,839,51.508033,-0.106823,Point (-0.106823 51.508033)
"Sedding Street, Sloane Square",153833,5,51.49313,-0.156876,Point (-0.156876 51.49313)
"Selby Street, Whitechapel",41951,565,51.521905,-0.063386,Point (-0.063386 51.521905)
"Serpentine Car Park, Hyde Park",256344,300,51.505014,-0.17306,Point (-0.17306 51.505014)
"Seville Street, Knightsbridge",113811,166,51.501855,-0.159237,Point (-0.159237 51.501855)
"Seymour Place, Marylebone",77454,605,51.520331,-0.163667,Point (-0.163667 51.520331)
"Shadwell Station, Shadwell",121865,449,51.511088,-0.057159,Point (-0.057159 51.511088)
"Sheepcote Lane, Battersea",51561,632,51.470538,-0.163041,Point (-0.163041 51.470538)
"Shepherd's Bush Road North, Shepherd's Bush",68760,667,51.501594,-0.222293,Point (-0.222293 51.501594)
"Shoreditch Court, Haggerston",74886,698,51.539083,-0.070329,Point (-0.070329 51.539083)
"Shoreditch High Street, Shoreditch",227121,39,51.526377,-0.07813,Point (-0.07813 51.526377)
"Shoreditch Park, Hoxton",129390,253,51.534042,-0.086379,Point (-0.086379 51.534042)
"Shouldham Street, Marylebone",76227,396,51.51809,-0.163609,Point (-0.163609 51.51809)
"Sidney Road, Stockwell",36776,830,51.469202,-0.119022,Point (-0.119022 51.469202)
"Silverthorne Road, Battersea",71128,640,51.472865,-0.148059,Point (-0.148059 51.472865)
"Simpson Street, Clapham Junction",95456,653,51.470847,-0.170703,Point (-0.170703 51.470847)
"Sirdar Road, Avondale",21600,740,51.510928,-0.214594,Point (-0.214594 51.510928)
"Sloane Avenue, Knightsbridge",133613,163,51.493184,-0.167894,Point (-0.167894 51.493184)
"Smith Square, Westminster",93763,281,51.495805,-0.127575,Point (-0.127575 51.495805)
"Smugglers Way, Wandsworth",50044,665,51.461083,-0.191722,Point (-0.191722 51.461083)
"Snow Hill, Farringdon",106022,393,51.517334,-0.103604,Point (-0.103604 51.517334)
"Snowsfields, London Bridge",106312,706,51.502153,-0.083632,Point (-0.083632 51.502153)
"Soho Square , Soho",246066,109,51.515631,-0.132328,Point (-0.132328 51.515631)
"Somerset House, Strand",182901,564,51.509943,-0.117619,Point (-0.117619 51.509943)
"Sopwith Way, Battersea Park",101121,800,51.481121,-0.149035,Point (-0.149035 51.481121)
"South Audley Street, Mayfair",41341,289,51.50923,-0.151296,Point (-0.151296 51.50923)
"South Kensington Station, South Kensington",220037,356,51.494412,-0.173881,Point (-0.173881 51.494412)
"South Lambeth Road, Vauxhall",97652,600,51.481747,-0.124642,Point (-0.124642 51.481747)
"South Parade, Chelsea",58076,430,51.48902,-0.17524,Point (-0.17524 51.48902)
"South Park, Sands End",72330,636,51.467064,-0.193502,Point (-0.193502 51.467064)
"South Quay East, Canary Wharf",8690,494,51.50196,-0.016251,Point (-0.016251 51.50196)
"South Wharf Road, Paddington",151479,186,51.517335,-0.17581,Point (-0.17581 51.517335)
"Southampton Place, Holborn",103243,162,51.517606,-0.121328,Point (-0.121328 51.517606)
"Southampton Street, Strand",136246,388,51.510701,-0.121723,Point (-0.121723 51.510701)
"Southern Grove, Bow",45160,467,51.523538,-0.030556,Point (-0.030556 51.523538)
"Southerton Road, Hammersmith",63527,598,51.494499,-0.228188,Point (-0.228188 51.494499)
"Southwark Station 1, Southwark",70623,420,51.504043,-0.105312,Point (-0.105312 51.504043)
"Southwark Station 2, Southwark",114160,421,51.504044,-0.104778,Point (-0.104778 51.504044)
"Southwark Street, Bankside",51715,803,51.505409,-0.098341,Point (-0.098341 51.505409)
"Southwick Street, Paddington",93089,265,51.515953,-0.169249,Point (-0.169249 51.515953)
"Spanish Road, Clapham Junction",22231,689,51.459225,-0.180884,Point (-0.180884 51.459225)
"Speakers' Corner 1, Hyde Park",83290,407,51.512301,-0.159925,Point (-0.159925 51.512301)
"Speakers' Corner 2, Hyde Park",64853,406,51.512232,-0.160529,Point (-0.160529 51.512232)
"Spencer Park, Wandsworth Common",28903,637,51.45787,-0.174691,Point (-0.174691 51.45787)
"Spindrift Avenue, Millwall",36866,477,51.49109,-0.018716,Point (-0.018716 51.49109)
"St John's Crescent, Brixton",31142,831,51.466232,-0.113179,Point (-0.113179 51.466232)
"St Martins Close, Camden Town",39351,604,51.538792,-0.138535,Point (-0.138535 51.538792)
"St Mary's Hospital, Paddington",168635,290,51.518268,-0.171103,Point (-0.171103 51.518268)
"St. Bride Street, Holborn",129207,703,51.515059,-0.105344,Point (-0.105344 51.515059)
"St. Chad's Street, King's Cross",71317,4,51.530059,-0.120973,Point (-0.120973 51.530059)
"St. George Street, Mayfair",81129,349,51.51196,-0.142783,Point (-0.142783 51.51196)
"St. George's Square, Pimlico",118400,294,51.488226,-0.135635,Point (-0.135635 51.488226)
"St. James's Square, St. James's",200567,228,51.507424,-0.134621,Point (-0.134621 51.507424)
"St. John Street, Finsbury",61494,123,51.52836,-0.104724,Point (-0.104724 51.52836)
"St. John's Park, Cubitt Town",18439,504,51.496454,-0.009506,Point (-0.009506 51.496454)
"St. John's Road, Clapham Junction",73806,764,51.462392,-0.168292,Point (-0.168292 51.462392)
"St. John's Wood Church, The Regent's Park",72548,247,51.530529,-0.167515,Point (-0.167515 51.530529)
"St. John's Wood Road, St. John's Wood",64172,286,51.527294,-0.174653,Point (-0.174653 51.527294)
"St. Katharine's Way, Tower",96294,452,51.505697,-0.070542,Point (-0.070542 51.505697)
"St. Luke's Church, Chelsea",89922,218,51.489716,-0.170194,Point (-0.170194 51.489716)
"St. Mark's Road, North Kensington",71817,650,51.51687,-0.213872,Point (-0.213872 51.51687)
"St. Martin's Street, West End",78518,325,51.509087,-0.129697,Point (-0.129697 51.509087)
"St. Mary & St. Michael Church, Stepney",26432,464,51.51417,-0.052099,Point (-0.052099 51.51417)
"St. Mary Axe, Aldgate",98893,263,51.514225,-0.08066,Point (-0.08066 51.514225)
"St. Peter's Terrace, Fulham",101445,729,51.478939,-0.208485,Point (-0.208485 51.478939)
"Stainsby Road , Poplar",50846,716,51.515427,-0.023565,Point (-0.023565 51.515427)
"Stamford Street, South Bank",106612,197,51.505569,-0.111606,Point (-0.111606 51.505569)
"Stanhope Gate, Mayfair",54142,380,51.506864,-0.150666,Point (-0.150666 51.506864)
"Stanley Grove, Battersea",43491,690,51.470475,-0.15213,Point (-0.15213 51.470475)
"Star Road, West Kensington",64723,720,51.487244,-0.205279,Point (-0.205279 51.487244)
"Stebondale Street, Cubitt Town",23407,476,51.489096,-0.009205,Point (-0.009205 51.489096)
"Stephendale Road, Sands End",121365,723,51.46822,-0.190346,Point (-0.190346 51.46822)
"Stepney Green Station, Stepney",127670,478,51.521889,-0.04667,Point (-0.04667 51.521889)
"Stewart's Road, Wandsworth Road",34794,714,51.473116,-0.137235,Point (-0.137235 51.473116)
"Stonecutter Street, Holborn",77915,112,51.515809,-0.10527,Point (-0.10527 51.515809)
"Store Street, Bloomsbury",107360,364,51.519572,-0.13214,Point (-0.13214 51.519572)
"Storey's Gate, Westminster",269047,762,51.500703,-0.129698,Point (-0.129698 51.500703)
"Strand, Strand",94841,174,51.512582,-0.115057,Point (-0.115057 51.512582)
"Strata, Elephant & Castle",118205,409,51.493146,-0.099828,Point (-0.099828 51.493146)
"Stratford Station, Stratford",73011,790,51.541793,-0.00481,Point (-0.00481 51.541793)
"Sugden Road, Clapham",55109,609,51.465123,-0.157788,Point (-0.157788 51.465123)
"Sumner Place, South Kensington",66963,172,51.491211,-0.173715,Point (-0.173715 51.491211)
"Sun Street, Liverpool Street",38839,408,51.520009,-0.083935,Point (-0.083935 51.520009)
"Surrey Lane, Battersea",70347,620,51.47518,-0.16716,Point (-0.16716 51.47518)
"Sutton Street, Shadwell",114901,511,51.511066,-0.053558,Point (-0.053558 51.511066)
"Swan Street, The Borough",85672,295,51.500296,-0.092762,Point (-0.092762 51.500296)
"Tachbrook Street, Victoria",99795,148,51.492111,-0.138364,Point (-0.138364 51.492111)
"Tallis Street, Temple",115285,773,51.511891,-0.107349,Point (-0.107349 51.511891)
"Tanner Street, Bermondsey",136243,85,51.500647,-0.0786,Point (-0.0786 51.500647)
"Tate Modern, Bankside",104346,810,51.506725,-0.098807,Point (-0.098807 51.506725)
"Tavistock Place, Bloomsbury",98328,89,51.52625,-0.123509,Point (-0.123509 51.52625)
"Tavistock Street, Covent Garden",136276,335,51.511968,-0.120718,Point (-0.120718 51.511968)
"Taviton Street, Bloomsbury",98691,19,51.52505,-0.131161,Point (-0.131161 51.52505)
"Temple Gardens, Temple",38474,842,51.510981,-0.108322,Point (-0.108322 51.510981)
"Teversham Lane, Stockwell",38536,669,51.476149,-0.123258,Point (-0.123258 51.476149)
"Teviot Street, Poplar",14205,519,51.518811,-0.011662,Point (-0.011662 51.518811)
"The Guildhall, Guildhall",60755,120,51.515735,-0.09308,Point (-0.09308 51.515735)
"The Metropolitan, Portobello",30384,805,51.520509,-0.200804,Point (-0.200804 51.520509)
"The Tennis Courts, The Regent's Park",105386,315,51.525367,-0.153463,Point (-0.153463 51.525367)
"The Vale, Chelsea",122093,755,51.485121,-0.174971,Point (-0.174971 51.485121)
"Theobald's Road , Holborn",123470,68,51.520596,-0.116688,Point (-0.116688 51.520596)
"Thessaly Road North, Nine Elms",12374,1001,51.477273,-0.138781,Point (-0.138781 51.477273)
"Thorndike Close, West Chelsea",66253,651,51.480898,-0.183853,Point (-0.183853 51.480898)
"Thornfield House, Poplar",4393,567,51.509913,-0.023606,Point (-0.023606 51.509913)
"Thurtle Road, Haggerston",45048,463,51.534776,-0.071881,Point (-0.071881 51.534776)
"Timber Lodge, Queen Elizabeth Olympic Park",86598,787,51.546805,-0.014691,Point (-0.014691 51.546805)
"Tooley Street, Bermondsey",247724,278,51.503493,-0.07962,Point (-0.07962 51.503493)
"Torrens Street, Angel",90711,75,51.532199,-0.10548,Point (-0.10548 51.532199)
"Tower Gardens , Tower",244385,130,51.509506,-0.075459,Point (-0.075459 51.509506)
"Tower Wharf, Bermondsey",28560,841,51.500845,-0.074704,Point (-0.074704 51.500845)
"Trebovir Road, Earl's Court",79801,158,51.490853,-0.19617,Point (-0.19617 51.490853)
"Triangle Car Park, Hyde Park",327016,248,51.506451,-0.170279,Point (-0.170279 51.506451)
"Turquoise Island, Notting Hill",107531,379,51.514311,-0.200838,Point (-0.200838 51.514311)
"Twig Folly Bridge, Mile End",106467,531,51.530326,-0.042744,Point (-0.042744 51.530326)
"Tyers Gate, Bermondsey",80719,314,51.500889,-0.083159,Point (-0.083159 51.500889)
"Tysoe Street, Clerkenwell",137286,264,51.526443,-0.109256,Point (-0.109256 51.526443)
"Union Grove, Wandsworth Road",78274,602,51.472993,-0.133972,Point (-0.133972 51.472993)
"Union Street, The Borough",87262,196,51.503688,-0.098497,Point (-0.098497 51.503688)
"Upcerne Road, West Chelsea",60510,745,51.478169,-0.182435,Point (-0.182435 51.478169)
"Upper Bank Street, Canary Wharf",91566,570,51.503083,-0.017676,Point (-0.017676 51.503083)
"Upper Grosvenor Street, Mayfair",37693,389,51.51013,-0.155757,Point (-0.155757 51.51013)
"Upper Richmond Road, Putney",26839,705,51.459715,-0.212145,Point (-0.212145 51.459715)
"Usk Road, Clapham Junction",57705,675,51.463489,-0.182126,Point (-0.182126 51.463489)
"Vauxhall Bridge , Pimlico",61800,146,51.488365,-0.129361,Point (-0.129361 51.488365)
"Vauxhall Cross, Vauxhall",222955,74,51.485917,-0.124469,Point (-0.124469 51.485917)
"Vauxhall Street, Vauxhall",52065,352,51.486965,-0.116625,Point (-0.116625 51.486965)
"Vauxhall Walk, Vauxhall",64878,437,51.488124,-0.120903,Point (-0.120903 51.488124)
"Vereker Road, West Kensington",97088,633,51.489591,-0.209378,Point (-0.209378 51.489591)
"Vicarage Crescent, Battersea",111995,701,51.472876,-0.176267,Point (-0.176267 51.472876)
"Vicarage Gate, Kensington",49496,103,51.504723,-0.192538,Point (-0.192538 51.504723)
"Victoria & Albert Museum, South Kensington",63924,781,51.495898,-0.173009,Point (-0.173009 51.495898)
"Victoria Park Road, Hackney Central",129446,719,51.536424,-0.054162,Point (-0.054162 51.536424)
"Victoria Rise, Clapham Common",29368,794,51.461376,-0.147804,Point (-0.147804 51.461376)
"Victory Place, Walworth",47537,820,51.492807,-0.091938,Point (-0.091938 51.492807)
"Vincent Square, Westminster",46384,299,51.493985,-0.136928,Point (-0.136928 51.493985)
"Vincent Street, Pimlico",72063,426,51.493072,-0.129925,Point (-0.129925 51.493072)
"Walmer Road, Avondale",37856,442,51.510101,-0.211358,Point (-0.211358 51.510101)
"Walnut Tree Walk, Vauxhall",76504,91,51.493686,-0.111014,Point (-0.111014 51.493686)
"Walworth Square, Walworth",49480,725,51.491327,-0.096518,Point (-0.096518 51.491327)
"Wandsworth Rd, Isley Court, Wandsworth Road",78010,612,51.469259,-0.141812,Point (-0.141812 51.469259)
"Wandsworth Town Station, Wandsworth",87866,621,51.460864,-0.187427,Point (-0.187427 51.460864)
"Wansey Street, Walworth",97,79,51.491056,-0.097291,Point (-0.097291 51.491056)
"Wapping High Street, Wapping",69385,134,51.504904,-0.06797,Point (-0.06797 51.504904)
"Wapping Lane, Wapping",104487,458,51.504749,-0.057544,Point (-0.057544 51.504749)
"Wardour Street, Soho",178381,192,51.512515,-0.133201,Point (-0.133201 51.512515)
"Warren Street Station, Euston",176231,239,51.524438,-0.138019,Point (-0.138019 51.524438)
"Warwick Avenue Station, Maida Vale",126401,47,51.523344,-0.183846,Point (-0.183846 51.523344)
"Warwick Road, Olympia",88344,274,51.496712,-0.205284,Point (-0.205284 51.496712)
"Warwick Row, Westminster",86329,316,51.497998,-0.14296,Point (-0.14296 51.497998)
"Warwick Square, Pimlico",94085,178,51.489856,-0.141923,Point (-0.141923 51.489856)
"Waterloo Bridge, South Bank",59033,377,51.505354,-0.113656,Point (-0.113656 51.505354)
"Waterloo Place, St. James's",128354,160,51.506633,-0.131773,Point (-0.131773 51.506633)
"Waterloo Road, South Bank",91793,173,51.50486,-0.113001,Point (-0.113001 51.50486)
"Waterloo Station 1, Waterloo",386621,374,51.504027,-0.113864,Point (-0.113864 51.504027)
"Waterloo Station 2, Waterloo",231833,361,51.503919,-0.113426,Point (-0.113426 51.503919)
"Waterloo Station 3, Waterloo",489417,154,51.503791,-0.112824,Point (-0.112824 51.503791)
"Watney Market, Stepney",76467,513,51.514222,-0.055656,Point (-0.055656 51.514222)
"Watney Street, Shadwell",111366,552,51.511542,-0.056667,Point (-0.056667 51.511542)
"Webber Street , Southwark",81363,80,51.500693,-0.102091,Point (-0.102091 51.500693)
"Wellington Arch, Hyde Park",365090,213,51.50274,-0.149569,Point (-0.149569 51.50274)
"Wellington Road, St. John's Wood",66511,110,51.533043,-0.172528,Point (-0.172528 51.533043)
"Wellington Row, Bethnal Green",87038,533,51.528222,-0.069743,Point (-0.069743 51.528222)
"Wellington Street , Strand",164368,338,51.511756,-0.119643,Point (-0.119643 51.511756)
"Wells Street, Fitzrovia",129383,313,51.517344,-0.138072,Point (-0.138072 51.517344)
"Wendon Street, Old Ford",54677,721,51.536039,-0.026262,Point (-0.026262 51.536039)
"Wenlock Road , Hoxton",116858,42,51.530991,-0.093903,Point (-0.093903 51.530991)
"West Cromwell Road, Earl's Court",74937,142,51.493724,-0.198286,Point (-0.198286 51.493724)
"West Kensington Station, West Kensington",64047,660,51.49087,-0.206029,Point (-0.206029 51.49087)
"West Smithfield Rotunda, Farringdon",145053,203,51.518218,-0.100791,Point (-0.100791 51.518218)
"Westbourne Grove, Bayswater",93386,105,51.515529,-0.19024,Point (-0.19024 51.515529)
"Westbourne Park Road, Portobello",69144,758,51.51787,-0.201005,Point (-0.201005 51.51787)
"Westbridge Road, Battersea",140746,680,51.477684,-0.170329,Point (-0.170329 51.477684)
"Westferry Circus, Canary Wharf",97645,811,51.505703,-0.027772,Point (-0.027772 51.505703)
"Westferry DLR, Limehouse",123940,510,51.509303,-0.025996,Point (-0.025996 51.509303)
"Westfield Ariel Way, White City",61681,566,51.509158,-0.224103,Point (-0.224103 51.509158)
"Westfield Eastern Access Road, Shepherd's Bush",764,555,51.509159,-0.219645,Point (-0.219645 51.509159)
"Westfield Library Corner, Shepherd's Bush",54927,591,51.506093,-0.224303,Point (-0.224303 51.506093)
"Westfield Southern Terrace ,Shepherd's Bush",53996,571,51.506256,-0.218337,Point (-0.218337 51.506256)
"Westminster Bridge Road, Elephant & Castle",30307,548,51.498386,-0.107913,Point (-0.107913 51.498386)
"Westminster Pier, Westminster",179088,818,51.501513,-0.123823,Point (-0.123823 51.501513)
"Westminster University, Marylebone",74875,257,51.522481,-0.154907,Point (-0.154907 51.522481)
"Whiston Road, Haggerston",63276,466,51.534464,-0.076341,Point (-0.076341 51.534464)
"Whitehall Place, Strand",237486,229,51.506543,-0.123179,Point (-0.123179 51.506543)
"William IV Street, Strand",193808,64,51.509462,-0.124749,Point (-0.124749 51.509462)
"William Morris Way, Sands End",74454,628,51.468819,-0.184318,Point (-0.184318 51.468819)
"Windsor Terrace, Hoxton",97392,30,51.529154,-0.093421,Point (-0.093421 51.529154)
"Wood Street, Guildhall",65883,127,51.517008,-0.093885,Point (-0.093885 51.517008)
"Woodstock Grove, Shepherd's Bush",121687,613,51.504038,-0.2174,Point (-0.2174 51.504038)
"Woodstock Street, Mayfair",67395,106,51.514105,-0.147301,Point (-0.147301 51.514105)
"World's End Place, West Chelsea",87031,649,51.481805,-0.180274,Point (-0.180274 51.481805)
"Wormwood Street, Liverpool Street",324024,217,51.516154,-0.082422,Point (-0.082422 51.516154)
"Worship Street, Shoreditch",89809,175,51.521668,-0.079608,Point (-0.079608 51.521668)
"Wren Street, Holborn",126048,433,51.524564,-0.116279,Point (-0.116279 51.524564)
"Wright's Lane, Kensington",137924,157,51.500397,-0.193068,Point (-0.193068 51.500397)
"Wynne Road, Stockwell",23375,829,51.469217,-0.112686,Point (-0.112686 51.469217)
"York Hall, Bethnal Green",112205,446,51.528936,-0.055894,Point (-0.055894 51.528936)
"York Way, Kings Cross",36867,836,51.541596,-0.125441,Point (-0.125441 51.541596)
